 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    1,   3, 300,   0,   1
 # Q, deltaE, Total
    0.150000,    8.599705,   -1.000000
    0.150000,    8.699702,   -1.000000
    0.150000,    8.799698,   -1.000000
    0.150000,    8.899695,   -1.000000
    0.150000,    8.999691,   -1.000000
    0.150000,    9.099688,   -1.000000
    0.150000,    9.199684,   -1.000000
    0.150000,    9.299681,   -1.000000
    0.150000,    9.399678,   -1.000000
    0.150000,    9.499674,   -1.000000
    0.150000,    9.599671,   -1.000000
    0.150000,    9.699667,   -1.000000
    0.150000,    9.799664,   -1.000000
    0.150000,    9.899660,   -1.000000
    0.150000,    9.999657,   -1.000000
    0.150000,   10.099653,   -1.000000
    0.150000,   10.199650,   -1.000000
    0.150000,   10.299647,   -1.000000
    0.150000,   10.399643,   -1.000000
    0.150000,   10.499640,   -1.000000
    0.150000,   10.599636,   -1.000000
    0.150000,   10.699633,   -1.000000
    0.150000,   10.799629,   -1.000000
    0.150000,   10.899626,   -1.000000
    0.150000,   10.999623,   -1.000000
    0.150000,   11.099619,   -1.000000
    0.150000,   11.199616,   -1.000000
